normalized_url,normalized_path,route_family,last_crawled,gsc_submitted,gsc_indexed,indexed_not_submitted,variant_count,clicks,impressions,ctr,position,source_file_exists,current_http_status,current_canonical,target_pillar_id,target_topic,search_intent,migration_action,target_url,redirect_required,evidence_status,publication_status,notes,numeric_class,proposed_base_path,base_family_indexed_count,mapping_notes
https://www.mcpserver.in/glossary/mcp-http-cache-50,/glossary/mcp-http-cache-50,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-http-cache,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-hyperparameter-tune-38,/glossary/mcp-hyperparameter-tune-38,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-hyperparameter-tune,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-identity-service-145,/glossary/mcp-identity-service-145,/glossary,2026-08-03,False,True,True,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-identity-service,2,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-identity-service-19,/glossary/mcp-identity-service-19,/glossary,2026-08-04,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-identity-service,2,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-iso-27001,/glossary/mcp-iso-27001,/glossary,2026-07-21,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,KEEP_REVIEW,,,,,,SEMANTIC_NUMERIC_TERM,/glossary/mcp-iso-27001,1,Numeric token is part of the semantic term; do not strip automatically.
https://www.mcpserver.in/glossary/mcp-key-value-store-26,/glossary/mcp-key-value-store-26,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-key-value-store,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-license-checker-108,/glossary/mcp-license-checker-108,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-license-checker,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-liveness-probe-45,/glossary/mcp-liveness-probe-45,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-liveness-probe,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-load-balancer-15,/glossary/mcp-load-balancer-15,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-load-balancer,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-log-aggregator-65,/glossary/mcp-log-aggregator-65,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-log-aggregator,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-log-rotation-99,/glossary/mcp-log-rotation-99,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-log-rotation,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-logging-service-13,/glossary/mcp-logging-service-13,/glossary,2026-08-03,True,True,False,1,0.0,1.0,0.0,12.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-logging-service,1,Legacy generated numeric suffix; requires semantic successor decision.
https://www.mcpserver.in/glossary/mcp-message-broker-5,/glossary/mcp-message-broker-5,/glossary,2026-08-03,True,True,False,1,0.0,0.0,0.0,0.0,,,,,,,UNRESOLVED,,,,,,GENERATED_NUMERIC_SUFFIX,/glossary/mcp-message-broker,1,Legacy generated numeric suffix; requires semantic successor decision.
